locus_tag	ftype	length_bp	gene	EC_number	COG	product
HOEOPMLG_00001	gene	1491	dnaA			
HOEOPMLG_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
HOEOPMLG_00002	gene	1209	dnaN			
HOEOPMLG_00002	CDS	1209	dnaN		COG0592	Beta sliding clamp
HOEOPMLG_00003	gene	1158	recF			
HOEOPMLG_00003	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
HOEOPMLG_00004	gene	516				
HOEOPMLG_00004	CDS	516				hypothetical protein
HOEOPMLG_00005	gene	2145	gyrB1			
HOEOPMLG_00005	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
HOEOPMLG_00006	gene	2517	gyrA1			
HOEOPMLG_00006	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
HOEOPMLG_00007	gene	198				
HOEOPMLG_00007	CDS	198				hypothetical protein
HOEOPMLG_00008	gene	306				
HOEOPMLG_00008	CDS	306				putative protein
HOEOPMLG_00009	gene	75				
HOEOPMLG_00009	tRNA	75				tRNA-Ile(gat)
HOEOPMLG_00010	gene	74				
HOEOPMLG_00010	tRNA	74				tRNA-Ala(tgc)
HOEOPMLG_00011	gene	108				
HOEOPMLG_00011	CDS	108				hypothetical protein
HOEOPMLG_00012	gene	138				
HOEOPMLG_00012	CDS	138				hypothetical protein
HOEOPMLG_00013	gene	438	cwsA			
HOEOPMLG_00013	CDS	438	cwsA			Cell wall synthesis protein CwsA
HOEOPMLG_00014	gene	549	ppiA			
HOEOPMLG_00014	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
HOEOPMLG_00015	gene	153				
HOEOPMLG_00015	CDS	153				hypothetical protein
HOEOPMLG_00016	gene	360				
HOEOPMLG_00016	CDS	360				hypothetical protein
HOEOPMLG_00017	gene	282	crgA			
HOEOPMLG_00017	CDS	282	crgA			Cell division protein CrgA
HOEOPMLG_00018	gene	744				
HOEOPMLG_00018	CDS	744				hypothetical protein
HOEOPMLG_00019	gene	699	trpG			
HOEOPMLG_00019	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
HOEOPMLG_00020	gene	1881	pknB			
HOEOPMLG_00020	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
HOEOPMLG_00021	gene	1296	pknA			
HOEOPMLG_00021	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
HOEOPMLG_00022	gene	1476	pbpA			
HOEOPMLG_00022	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
HOEOPMLG_00023	gene	1410	rodA			
HOEOPMLG_00023	CDS	1410	rodA		COG0772	putative FtsW-like protein
HOEOPMLG_00024	gene	1536	pstP			
HOEOPMLG_00024	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
HOEOPMLG_00025	gene	468	fhaB			
HOEOPMLG_00025	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
HOEOPMLG_00026	gene	1584	fhaA			
HOEOPMLG_00026	CDS	1584	fhaA		COG1716	FHA domain-containing protein FhaA
HOEOPMLG_00027	gene	85				
HOEOPMLG_00027	tRNA	85				tRNA-Leu(cag)
HOEOPMLG_00028	gene	969	IMPDH			
HOEOPMLG_00028	CDS	969	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
HOEOPMLG_00029	gene	420	whiB5			
HOEOPMLG_00029	CDS	420	whiB5			Transcriptional regulator WhiB5
HOEOPMLG_00030	gene	771				
HOEOPMLG_00030	CDS	771			COG1396	putative HTH-type transcriptional regulator
HOEOPMLG_00031	gene	846				
HOEOPMLG_00031	CDS	846				hypothetical protein
HOEOPMLG_00032	gene	363				
HOEOPMLG_00032	CDS	363				putative protein
HOEOPMLG_00033	gene	1347				
HOEOPMLG_00033	CDS	1347				hypothetical protein
HOEOPMLG_00034	gene	318				
HOEOPMLG_00034	CDS	318				hypothetical protein
HOEOPMLG_00035	gene	306				
HOEOPMLG_00035	CDS	306				putative protein
HOEOPMLG_00036	gene	144				
HOEOPMLG_00036	CDS	144				putative proteinA
HOEOPMLG_00037	gene	876				
HOEOPMLG_00037	CDS	876				hypothetical protein
HOEOPMLG_00038	gene	330				
HOEOPMLG_00038	CDS	330				putative protein
HOEOPMLG_00039	gene	2316	bioF2			
HOEOPMLG_00039	CDS	2316	bioF2	2.3.1.47	COG0156	Putative 8-amino-7-oxononanoate synthase 2
HOEOPMLG_00040	gene	264	acpP			
HOEOPMLG_00040	CDS	264	acpP			Acyl carrier protein
HOEOPMLG_00041	gene	396				
HOEOPMLG_00041	CDS	396			COG3631	putative protein
HOEOPMLG_00042	gene	1689	menE_1			
HOEOPMLG_00042	CDS	1689	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
HOEOPMLG_00043	gene	774				
HOEOPMLG_00043	CDS	774				putative protein
HOEOPMLG_00044	gene	1311				
HOEOPMLG_00044	CDS	1311			COG0477	putative MFS-type transporter
HOEOPMLG_00045	gene	633				
HOEOPMLG_00045	CDS	633				hypothetical protein
HOEOPMLG_00046	gene	348				
HOEOPMLG_00046	CDS	348				hypothetical protein
HOEOPMLG_00047	gene	933				
HOEOPMLG_00047	CDS	933				Proline-rich 28 kDa antigen
HOEOPMLG_00048	gene	2877	leuS			
HOEOPMLG_00048	CDS	2877	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
HOEOPMLG_00049	gene	627				
HOEOPMLG_00049	CDS	627				hypothetical protein
HOEOPMLG_00050	gene	735				
HOEOPMLG_00050	CDS	735			COG1802	putative HTH-type transcriptional regulator
HOEOPMLG_00051	gene	795	rutA			
HOEOPMLG_00051	CDS	795	rutA	1.14.99.46		Pyrimidine monooxygenase RutA
HOEOPMLG_00052	gene	897				
HOEOPMLG_00052	CDS	897		3.5.1.29		2-(acetamidomethylene)succinate hydrolase
HOEOPMLG_00053	gene	1104	ino1			
HOEOPMLG_00053	CDS	1104	ino1	5.5.1.4	COG1260	Inositol-3-phosphate synthase
HOEOPMLG_00054	gene	543				
HOEOPMLG_00054	CDS	543				hypothetical protein
HOEOPMLG_00055	gene	870				
HOEOPMLG_00055	CDS	870				putative protein
HOEOPMLG_00056	gene	414				
HOEOPMLG_00056	CDS	414				putative protein
HOEOPMLG_00057	gene	2466	ponA1			
HOEOPMLG_00057	CDS	2466	ponA1		COG0744	Penicillin-binding protein 1A
HOEOPMLG_00058	gene	1683				
HOEOPMLG_00058	CDS	1683				hypothetical protein
HOEOPMLG_00059	gene	639	inhA_1			
