locus_tag	ftype	length_bp	gene	EC_number	COG	product
LIDHMMGG_00001	gene	1491	dnaA			
LIDHMMGG_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
LIDHMMGG_00002	gene	1209	dnaN			
LIDHMMGG_00002	CDS	1209	dnaN		COG0592	Beta sliding clamp
LIDHMMGG_00003	gene	1158	recF			
LIDHMMGG_00003	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
LIDHMMGG_00004	gene	516				
LIDHMMGG_00004	CDS	516				hypothetical protein
LIDHMMGG_00005	gene	2145	gyrB1			
LIDHMMGG_00005	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
LIDHMMGG_00006	gene	2517	gyrA1			
LIDHMMGG_00006	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
LIDHMMGG_00007	gene	198				
LIDHMMGG_00007	CDS	198				hypothetical protein
LIDHMMGG_00008	gene	306				
LIDHMMGG_00008	CDS	306				putative protein
LIDHMMGG_00009	gene	75				
LIDHMMGG_00009	tRNA	75				tRNA-Ile(gat)
LIDHMMGG_00010	gene	74				
LIDHMMGG_00010	tRNA	74				tRNA-Ala(tgc)
LIDHMMGG_00011	gene	108				
LIDHMMGG_00011	CDS	108				hypothetical protein
LIDHMMGG_00012	gene	138				
LIDHMMGG_00012	CDS	138				hypothetical protein
LIDHMMGG_00013	gene	438	cwsA			
LIDHMMGG_00013	CDS	438	cwsA			Cell wall synthesis protein CwsA
LIDHMMGG_00014	gene	549	ppiA			
LIDHMMGG_00014	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
LIDHMMGG_00015	gene	153				
LIDHMMGG_00015	CDS	153				hypothetical protein
LIDHMMGG_00016	gene	360				
LIDHMMGG_00016	CDS	360				hypothetical protein
LIDHMMGG_00017	gene	282	crgA			
LIDHMMGG_00017	CDS	282	crgA			Cell division protein CrgA
LIDHMMGG_00018	gene	744				
LIDHMMGG_00018	CDS	744				hypothetical protein
LIDHMMGG_00019	gene	699	trpG			
LIDHMMGG_00019	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
LIDHMMGG_00020	gene	1881	pknB			
LIDHMMGG_00020	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
LIDHMMGG_00021	gene	1296	pknA			
LIDHMMGG_00021	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
LIDHMMGG_00022	gene	1476	pbpA			
LIDHMMGG_00022	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
LIDHMMGG_00023	gene	1410	rodA			
LIDHMMGG_00023	CDS	1410	rodA		COG0772	putative FtsW-like protein
LIDHMMGG_00024	gene	1536	pstP			
LIDHMMGG_00024	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
LIDHMMGG_00025	gene	468	fhaB			
LIDHMMGG_00025	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
LIDHMMGG_00026	gene	1566	fhaA			
LIDHMMGG_00026	CDS	1566	fhaA		COG1716	FHA domain-containing protein FhaA
LIDHMMGG_00027	gene	85				
LIDHMMGG_00027	tRNA	85				tRNA-Leu(cag)
LIDHMMGG_00028	gene	270				
LIDHMMGG_00028	CDS	270				hypothetical protein
LIDHMMGG_00029	gene	969	IMPDH			
LIDHMMGG_00029	CDS	969	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
LIDHMMGG_00030	gene	420	whiB5			
LIDHMMGG_00030	CDS	420	whiB5			Transcriptional regulator WhiB5
LIDHMMGG_00031	gene	771				
LIDHMMGG_00031	CDS	771			COG1396	putative HTH-type transcriptional regulator
LIDHMMGG_00032	gene	846				
LIDHMMGG_00032	CDS	846				hypothetical protein
LIDHMMGG_00033	gene	273				
LIDHMMGG_00033	CDS	273				putative protein
LIDHMMGG_00034	gene	1347				
LIDHMMGG_00034	CDS	1347				hypothetical protein
LIDHMMGG_00035	gene	318				
LIDHMMGG_00035	CDS	318				hypothetical protein
LIDHMMGG_00036	gene	306				
LIDHMMGG_00036	CDS	306				putative protein
LIDHMMGG_00037	gene	144				
LIDHMMGG_00037	CDS	144				putative proteinA
LIDHMMGG_00038	gene	876				
LIDHMMGG_00038	CDS	876				hypothetical protein
LIDHMMGG_00039	gene	330				
LIDHMMGG_00039	CDS	330				putative protein
LIDHMMGG_00040	gene	2226	bioF2_1			
LIDHMMGG_00040	CDS	2226	bioF2_1	2.3.1.47	COG0156	Putative 8-amino-7-oxononanoate synthase 2
LIDHMMGG_00041	gene	129	bioF2_2			
LIDHMMGG_00041	CDS	129	bioF2_2	2.3.1.47	COG0156	Putative 8-amino-7-oxononanoate synthase 2
LIDHMMGG_00042	gene	264	acpP			
LIDHMMGG_00042	CDS	264	acpP			Acyl carrier protein
LIDHMMGG_00043	gene	396				
