locus_tag	ftype	length_bp	gene	EC_number	COG	product
FHHPPBKP_00001	CDS	1566	dnaA		COG0593	Chromosomal replication initiator protein DnaA
FHHPPBKP_00002	CDS	1200	dnaN		COG0592	Beta sliding clamp
FHHPPBKP_00003	CDS	1080	recF		COG1195	DNA replication and repair protein RecF
FHHPPBKP_00004	CDS	570				hypothetical protein
FHHPPBKP_00005	CDS	2094	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
FHHPPBKP_00006	CDS	3750	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
FHHPPBKP_00007	CDS	282				hypothetical protein
FHHPPBKP_00008	CDS	627				putative protein
FHHPPBKP_00009	tRNA	75				tRNA-Ile(gat)
FHHPPBKP_00010	tRNA	74				tRNA-Ala(tgc)
FHHPPBKP_00011	CDS	192				hypothetical protein
FHHPPBKP_00012	CDS	144				hypothetical protein
FHHPPBKP_00013	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
FHHPPBKP_00014	CDS	414				hypothetical protein
FHHPPBKP_00015	CDS	282	crgA			Cell division protein CrgA
FHHPPBKP_00016	CDS	249				hypothetical protein
FHHPPBKP_00017	CDS	183				hypothetical protein
FHHPPBKP_00018	CDS	138				hypothetical protein
FHHPPBKP_00019	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
FHHPPBKP_00020	CDS	1869	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
FHHPPBKP_00021	CDS	1314	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
FHHPPBKP_00022	CDS	1479	pbpA		COG0768	Penicillin-binding protein A
FHHPPBKP_00023	CDS	1398	rodA		COG0772	putative FtsW-like protein
FHHPPBKP_00024	CDS	1530	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
FHHPPBKP_00025	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
FHHPPBKP_00026	CDS	1467	fhaA		COG1716	FHA domain-containing protein FhaA
FHHPPBKP_00027	tRNA	84				tRNA-Leu(cag)
FHHPPBKP_00028	CDS	192				hypothetical protein
FHHPPBKP_00029	CDS	291				hypothetical protein
FHHPPBKP_00030	CDS	264				hypothetical protein
FHHPPBKP_00031	CDS	300				hypothetical protein
FHHPPBKP_00032	CDS	177				hypothetical protein
FHHPPBKP_00033	CDS	609				hypothetical protein
FHHPPBKP_00034	CDS	498				hypothetical protein
FHHPPBKP_00035	CDS	525				hypothetical protein
FHHPPBKP_00036	CDS	837				Proline-rich 28 kDa antigen
FHHPPBKP_00037	CDS	2964	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
FHHPPBKP_00038	CDS	108				hypothetical protein
FHHPPBKP_00039	CDS	270	eccD2			ESX-2 secretion system protein eccD2
FHHPPBKP_00040	CDS	252				hypothetical protein
FHHPPBKP_00041	CDS	201				hypothetical protein
FHHPPBKP_00042	CDS	93				hypothetical protein
FHHPPBKP_00043	CDS	117				hypothetical protein
FHHPPBKP_00044	CDS	162				hypothetical protein
FHHPPBKP_00045	CDS	138				hypothetical protein
FHHPPBKP_00046	CDS	240	eccA2		COG0464	ESX-2 secretion system protein EccA2
FHHPPBKP_00047	CDS	108				hypothetical protein
FHHPPBKP_00048	CDS	1341	mycP1_1	3.4.21.-	COG1404	Mycosin-1
FHHPPBKP_00049	CDS	1404	eccE1			ESX-1 secretion system protein EccE1
FHHPPBKP_00050	CDS	306				hypothetical protein
FHHPPBKP_00051	CDS	150				hypothetical protein
FHHPPBKP_00052	CDS	252				hypothetical protein
FHHPPBKP_00053	CDS	342	espL			ESX-1 secretion-associated protein EspL
FHHPPBKP_00054	CDS	204				hypothetical protein
FHHPPBKP_00055	CDS	306				hypothetical protein
FHHPPBKP_00056	CDS	279				hypothetical protein
FHHPPBKP_00057	CDS	165				hypothetical protein
FHHPPBKP_00058	CDS	150				hypothetical protein
FHHPPBKP_00059	CDS	153				hypothetical protein
FHHPPBKP_00060	CDS	1539	eccD1			ESX-1 secretion system protein EccD1
FHHPPBKP_00061	CDS	1761				hypothetical protein
FHHPPBKP_00062	CDS	288	esxA		COG4842	6 kDa early secretory antigenic target 
FHHPPBKP_00063	CDS	303	esxB			ESAT-6-like protein EsxB
FHHPPBKP_00064	CDS	909				hypothetical protein
FHHPPBKP_00065	CDS	1794	eccCb1		COG1674	ESX-1 secretion system protein EccCb1
FHHPPBKP_00066	CDS	2235	eccCa1		COG1674	ESX-1 secretion system protein EccCa1
FHHPPBKP_00067	CDS	1446	eccB1	3.6.-.-		ESX-1 secretion system ATPase EccB1
FHHPPBKP_00068	CDS	1722	eccA1		COG0464	ESX-1 secretion system protein EccA1
FHHPPBKP_00069	CDS	1017				hypothetical protein
FHHPPBKP_00070	CDS	369	espG1			ESX-1 secretion-associated protein EspG1
FHHPPBKP_00071	CDS	156				hypothetical protein
FHHPPBKP_00072	CDS	378				hypothetical protein
FHHPPBKP_00073	CDS	231				hypothetical protein
FHHPPBKP_00074	CDS	279				hypothetical protein
FHHPPBKP_00075	CDS	306				hypothetical protein
FHHPPBKP_00076	CDS	4584	gltB	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
FHHPPBKP_00077	CDS	1467	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
FHHPPBKP_00078	CDS	141				hypothetical protein
FHHPPBKP_00079	CDS	141				hypothetical protein
FHHPPBKP_00080	CDS	225				hypothetical protein
FHHPPBKP_00081	CDS	105				hypothetical protein
FHHPPBKP_00082	CDS	645	ethR_1			HTH-type transcriptional regulator EthR
FHHPPBKP_00083	CDS	1485	ethA	1.14.13.-	COG2072	FAD-containing monooxygenase EthA
FHHPPBKP_00084	CDS	468	rraA	4.1.3.17	COG0684	Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase
FHHPPBKP_00085	CDS	366				hypothetical protein
FHHPPBKP_00086	CDS	474				hypothetical protein
FHHPPBKP_00087	CDS	684				hypothetical protein
FHHPPBKP_00088	CDS	399	espR			Nucleoid-associated protein EspR
FHHPPBKP_00089	CDS	264				hypothetical protein
FHHPPBKP_00090	CDS	534				hypothetical protein
FHHPPBKP_00091	CDS	624	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn]
FHHPPBKP_00092	CDS	174				hypothetical protein
FHHPPBKP_00093	CDS	930				hypothetical protein
FHHPPBKP_00094	CDS	618	glpQ1_1	3.1.4.46	COG0584	putative glycerophosphodiester phosphodiesterase 1
FHHPPBKP_00095	CDS	159	glpQ1_2	3.1.4.46	COG0584	putative glycerophosphodiester phosphodiesterase 1
FHHPPBKP_00096	CDS	426	tagU	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
FHHPPBKP_00097	CDS	186				hypothetical protein
FHHPPBKP_00098	CDS	303				hypothetical protein
FHHPPBKP_00099	CDS	963	pheA	4.2.1.51	COG0077	Prephenate dehydratase
FHHPPBKP_00100	CDS	696	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
FHHPPBKP_00101	CDS	168				hypothetical protein
FHHPPBKP_00102	CDS	1353				putative membrane protein
