locus_tag	ftype	length_bp	gene	EC_number	COG	product
MELHCCFO_00001	gene	1491	dnaA			
MELHCCFO_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
MELHCCFO_00002	gene	837				
MELHCCFO_00002	CDS	837				IS3 family transposase IS987
MELHCCFO_00003	gene	1209	dnaN			
MELHCCFO_00003	CDS	1209	dnaN		COG0592	Beta sliding clamp
MELHCCFO_00004	gene	1158	recF			
MELHCCFO_00004	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
MELHCCFO_00005	gene	516				
MELHCCFO_00005	CDS	516				hypothetical protein
MELHCCFO_00006	gene	2145	gyrB1			
MELHCCFO_00006	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
MELHCCFO_00007	gene	2517	gyrA1			
MELHCCFO_00007	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
MELHCCFO_00008	gene	198				
MELHCCFO_00008	CDS	198				hypothetical protein
MELHCCFO_00009	gene	306				
MELHCCFO_00009	CDS	306				putative protein
MELHCCFO_00010	gene	75				
MELHCCFO_00010	tRNA	75				tRNA-Ile(gat)
MELHCCFO_00011	gene	74				
MELHCCFO_00011	tRNA	74				tRNA-Ala(tgc)
MELHCCFO_00012	gene	108				
MELHCCFO_00012	CDS	108				hypothetical protein
MELHCCFO_00013	gene	138				
MELHCCFO_00013	CDS	138				hypothetical protein
MELHCCFO_00014	gene	438	cwsA			
MELHCCFO_00014	CDS	438	cwsA			Cell wall synthesis protein CwsA
MELHCCFO_00015	gene	549	ppiA			
MELHCCFO_00015	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
MELHCCFO_00016	gene	153				
MELHCCFO_00016	CDS	153				hypothetical protein
MELHCCFO_00017	gene	360				
MELHCCFO_00017	CDS	360				hypothetical protein
MELHCCFO_00018	gene	282	crgA			
MELHCCFO_00018	CDS	282	crgA			Cell division protein CrgA
MELHCCFO_00019	gene	744				
MELHCCFO_00019	CDS	744				hypothetical protein
MELHCCFO_00020	gene	699	trpG			
MELHCCFO_00020	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
MELHCCFO_00021	gene	1881	pknB			
MELHCCFO_00021	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
MELHCCFO_00022	gene	1296	pknA			
MELHCCFO_00022	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
MELHCCFO_00023	gene	1476	pbpA			
MELHCCFO_00023	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
MELHCCFO_00024	gene	1410	rodA			
MELHCCFO_00024	CDS	1410	rodA		COG0772	putative FtsW-like protein
MELHCCFO_00025	gene	1536	pstP			
MELHCCFO_00025	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
MELHCCFO_00026	gene	468	fhaB			
MELHCCFO_00026	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
MELHCCFO_00027	gene	1566	fhaA			
MELHCCFO_00027	CDS	1566	fhaA		COG1716	FHA domain-containing protein FhaA
MELHCCFO_00028	gene	85				
MELHCCFO_00028	tRNA	85				tRNA-Leu(cag)
MELHCCFO_00029	gene	969	IMPDH			
MELHCCFO_00029	CDS	969	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
MELHCCFO_00030	gene	420	whiB5			
MELHCCFO_00030	CDS	420	whiB5			Transcriptional regulator WhiB5
MELHCCFO_00031	gene	771				
MELHCCFO_00031	CDS	771			COG1396	putative HTH-type transcriptional regulator
MELHCCFO_00032	gene	858				
MELHCCFO_00032	CDS	858				hypothetical protein
MELHCCFO_00033	gene	363				
MELHCCFO_00033	CDS	363				putative protein
MELHCCFO_00034	gene	1347				
MELHCCFO_00034	CDS	1347				hypothetical protein
MELHCCFO_00035	gene	318				
MELHCCFO_00035	CDS	318				hypothetical protein
MELHCCFO_00036	gene	306				
MELHCCFO_00036	CDS	306				putative protein
MELHCCFO_00037	gene	144				
MELHCCFO_00037	CDS	144				putative proteinA
MELHCCFO_00038	gene	876				
MELHCCFO_00038	CDS	876				hypothetical protein
MELHCCFO_00039	gene	330				
MELHCCFO_00039	CDS	330				putative protein
MELHCCFO_00040	gene	2316	bioF2			
MELHCCFO_00040	CDS	2316	bioF2	2.3.1.47	COG0156	Putative 8-amino-7-oxononanoate synthase 2
MELHCCFO_00041	gene	264	acpP			
MELHCCFO_00041	CDS	264	acpP			Acyl carrier protein
MELHCCFO_00042	gene	396				
MELHCCFO_00042	CDS	396			COG3631	putative protein
MELHCCFO_00043	gene	1689	menE_1			
MELHCCFO_00043	CDS	1689	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
MELHCCFO_00044	gene	774				
MELHCCFO_00044	CDS	774				putative protein
MELHCCFO_00045	gene	1311				
MELHCCFO_00045	CDS	1311			COG0477	putative MFS-type transporter
MELHCCFO_00046	gene	633				
MELHCCFO_00046	CDS	633				hypothetical protein
MELHCCFO_00047	gene	348				
MELHCCFO_00047	CDS	348				hypothetical protein
MELHCCFO_00048	gene	933				
MELHCCFO_00048	CDS	933				Proline-rich 28 kDa antigen
MELHCCFO_00049	gene	2877	leuS			
MELHCCFO_00049	CDS	2877	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
MELHCCFO_00050	gene	627				
MELHCCFO_00050	CDS	627				hypothetical protein
MELHCCFO_00051	gene	735				
MELHCCFO_00051	CDS	735			COG1802	putative HTH-type transcriptional regulator
MELHCCFO_00052	gene	795	rutA			
MELHCCFO_00052	CDS	795	rutA	1.14.99.46		Pyrimidine monooxygenase RutA
MELHCCFO_00053	gene	678				
MELHCCFO_00053	CDS	678				hypothetical protein
MELHCCFO_00054	gene	1104	ino1			
MELHCCFO_00054	CDS	1104	ino1	5.5.1.4	COG1260	Inositol-3-phosphate synthase
MELHCCFO_00055	gene	543				
MELHCCFO_00055	CDS	543				hypothetical protein
