locus_tag	ftype	length_bp	gene	EC_number	COG	product
HOGEOELJ_00001	gene	3627				
HOGEOELJ_00001	CDS	3627				hypothetical protein
HOGEOELJ_00002	gene	4083				
HOGEOELJ_00002	CDS	4083				hypothetical protein
HOGEOELJ_00003	gene	1509				
HOGEOELJ_00003	CDS	1509		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD17
HOGEOELJ_00004	gene	1122				
HOGEOELJ_00004	CDS	1122		1.3.99.-		Acyl-CoA dehydrogenase FadE27
HOGEOELJ_00005	gene	1203				
HOGEOELJ_00005	CDS	1203		1.3.99.-		Acyl-CoA dehydrogenase FadE26
HOGEOELJ_00006	gene	192				
HOGEOELJ_00006	CDS	192				hypothetical protein
HOGEOELJ_00007	gene	954				
HOGEOELJ_00007	CDS	954		1.1.1.-	COG1028	Putative short-chain type dehydrogenase/reductase
HOGEOELJ_00008	gene	765				
HOGEOELJ_00008	CDS	765				hypothetical protein
HOGEOELJ_00009	gene	843				
HOGEOELJ_00009	CDS	843				hypothetical protein
HOGEOELJ_00010	gene	1203				
HOGEOELJ_00010	CDS	1203				hypothetical protein
HOGEOELJ_00011	gene	1053				
HOGEOELJ_00011	CDS	1053				hypothetical protein
HOGEOELJ_00012	gene	1074				
HOGEOELJ_00012	CDS	1074				hypothetical protein
HOGEOELJ_00013	gene	1353				
HOGEOELJ_00013	CDS	1353				hypothetical protein
HOGEOELJ_00014	gene	1155	lprN_1			
HOGEOELJ_00014	CDS	1155	lprN_1			Lipoprotein LprN
HOGEOELJ_00015	gene	1695				
HOGEOELJ_00015	CDS	1695				hypothetical protein
HOGEOELJ_00016	gene	729				
HOGEOELJ_00016	CDS	729				hypothetical protein
HOGEOELJ_00017	gene	483				
HOGEOELJ_00017	CDS	483				hypothetical protein
HOGEOELJ_00018	gene	579				
HOGEOELJ_00018	CDS	579				hypothetical protein
HOGEOELJ_00019	gene	1503	otsA			
HOGEOELJ_00019	CDS	1503	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
HOGEOELJ_00020	gene	165				
HOGEOELJ_00020	CDS	165				hypothetical protein
HOGEOELJ_00021	gene	324				
HOGEOELJ_00021	CDS	324			COG1695	Transcriptional regulator
HOGEOELJ_00022	gene	984	lipF			
HOGEOELJ_00022	CDS	984	lipF	3.1.1.1		Carboxylesterase LipF
HOGEOELJ_00023	gene	492				
