locus_tag	ftype	length_bp	gene	EC_number	COG	product
JLNHOFOC_00001	gene	1491	dnaA			
JLNHOFOC_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
JLNHOFOC_00002	gene	1209	dnaN			
JLNHOFOC_00002	CDS	1209	dnaN		COG0592	Beta sliding clamp
JLNHOFOC_00003	gene	1158	recF			
JLNHOFOC_00003	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
JLNHOFOC_00004	gene	516				
JLNHOFOC_00004	CDS	516				hypothetical protein
JLNHOFOC_00005	gene	2145	gyrB1			
JLNHOFOC_00005	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
JLNHOFOC_00006	gene	2517	gyrA			
JLNHOFOC_00006	CDS	2517	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
JLNHOFOC_00007	gene	198				
JLNHOFOC_00007	CDS	198				hypothetical protein
JLNHOFOC_00008	gene	306				
JLNHOFOC_00008	CDS	306				putative protein
JLNHOFOC_00009	gene	75				
JLNHOFOC_00009	tRNA	75				tRNA-Ile(gat)
JLNHOFOC_00010	gene	74				
JLNHOFOC_00010	tRNA	74				tRNA-Ala(tgc)
JLNHOFOC_00011	gene	108				
JLNHOFOC_00011	CDS	108				hypothetical protein
JLNHOFOC_00012	gene	138				
JLNHOFOC_00012	CDS	138				hypothetical protein
JLNHOFOC_00013	gene	438	cwsA			
JLNHOFOC_00013	CDS	438	cwsA			Cell wall synthesis protein CwsA
JLNHOFOC_00014	gene	549	ppiA			
JLNHOFOC_00014	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
JLNHOFOC_00015	gene	153				
JLNHOFOC_00015	CDS	153				hypothetical protein
JLNHOFOC_00016	gene	360				
JLNHOFOC_00016	CDS	360				hypothetical protein
JLNHOFOC_00017	gene	282	crgA			
JLNHOFOC_00017	CDS	282	crgA			Cell division protein CrgA
JLNHOFOC_00018	gene	744				
JLNHOFOC_00018	CDS	744				hypothetical protein
JLNHOFOC_00019	gene	699	trpG			
JLNHOFOC_00019	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
JLNHOFOC_00020	gene	1881	pknB			
JLNHOFOC_00020	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
JLNHOFOC_00021	gene	1296	pknA			
JLNHOFOC_00021	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
JLNHOFOC_00022	gene	1476	pbpA			
JLNHOFOC_00022	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
JLNHOFOC_00023	gene	1410	rodA			
JLNHOFOC_00023	CDS	1410	rodA		COG0772	putative FtsW-like protein
JLNHOFOC_00024	gene	1536	pstP			
JLNHOFOC_00024	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
JLNHOFOC_00025	gene	468	fhaB			
