locus_tag	ftype	length_bp	gene	EC_number	COG	product
FCMHJNPK_00001	gene	1188	dnaA			
FCMHJNPK_00001	CDS	1188	dnaA		COG0593	Chromosomal replication initiator protein DnaA
FCMHJNPK_00002	gene	1209	dnaN			
FCMHJNPK_00002	CDS	1209	dnaN		COG0592	Beta sliding clamp
FCMHJNPK_00003	gene	1158	recF			
FCMHJNPK_00003	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
FCMHJNPK_00004	gene	516				
FCMHJNPK_00004	CDS	516				hypothetical protein
FCMHJNPK_00005	gene	2145	gyrB1			
FCMHJNPK_00005	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
FCMHJNPK_00006	gene	2517	gyrA1			
FCMHJNPK_00006	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
FCMHJNPK_00007	gene	915				
FCMHJNPK_00007	CDS	915				putative protein
FCMHJNPK_00008	gene	75				
FCMHJNPK_00008	tRNA	75				tRNA-Ile(gat)
FCMHJNPK_00009	gene	74				
FCMHJNPK_00009	tRNA	74				tRNA-Ala(tgc)
FCMHJNPK_00010	gene	108				
FCMHJNPK_00010	CDS	108				hypothetical protein
FCMHJNPK_00011	gene	138				
FCMHJNPK_00011	CDS	138				hypothetical protein
FCMHJNPK_00012	gene	438	cwsA			
FCMHJNPK_00012	CDS	438	cwsA			Cell wall synthesis protein CwsA
FCMHJNPK_00013	gene	549	ppiA			
FCMHJNPK_00013	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
FCMHJNPK_00014	gene	153				
FCMHJNPK_00014	CDS	153				hypothetical protein
FCMHJNPK_00015	gene	270				
FCMHJNPK_00015	CDS	270				hypothetical protein
FCMHJNPK_00016	gene	282	crgA			
FCMHJNPK_00016	CDS	282	crgA			Cell division protein CrgA
FCMHJNPK_00017	gene	744				
FCMHJNPK_00017	CDS	744				hypothetical protein
FCMHJNPK_00018	gene	699	trpG			
FCMHJNPK_00018	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
FCMHJNPK_00019	gene	1881	pknB			
FCMHJNPK_00019	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
FCMHJNPK_00020	gene	1296	pknA			
FCMHJNPK_00020	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
FCMHJNPK_00021	gene	1476	pbpA			
FCMHJNPK_00021	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
FCMHJNPK_00022	gene	1410	rodA			
FCMHJNPK_00022	CDS	1410	rodA		COG0772	putative FtsW-like protein
FCMHJNPK_00023	gene	1536	pstP			
FCMHJNPK_00023	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
FCMHJNPK_00024	gene	468	fhaB			
FCMHJNPK_00024	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
FCMHJNPK_00025	gene	1566	fhaA			
FCMHJNPK_00025	CDS	1566	fhaA		COG1716	FHA domain-containing protein FhaA
FCMHJNPK_00026	gene	85				
FCMHJNPK_00026	tRNA	85				tRNA-Leu(cag)
FCMHJNPK_00027	gene	270				
FCMHJNPK_00027	CDS	270				hypothetical protein
FCMHJNPK_00028	gene	969	IMPDH			
FCMHJNPK_00028	CDS	969	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
FCMHJNPK_00029	gene	420	whiB5			
FCMHJNPK_00029	CDS	420	whiB5			Transcriptional regulator WhiB5
FCMHJNPK_00030	gene	771				
FCMHJNPK_00030	CDS	771			COG1396	putative HTH-type transcriptional regulator
FCMHJNPK_00031	gene	834				
FCMHJNPK_00031	CDS	834				hypothetical protein
FCMHJNPK_00032	gene	363				
FCMHJNPK_00032	CDS	363				putative protein
FCMHJNPK_00033	gene	1434				
FCMHJNPK_00033	CDS	1434				hypothetical protein
FCMHJNPK_00034	gene	318				
FCMHJNPK_00034	CDS	318				hypothetical protein
FCMHJNPK_00035	gene	306				
FCMHJNPK_00035	CDS	306				putative protein
FCMHJNPK_00036	gene	144				
FCMHJNPK_00036	CDS	144				putative proteinA
FCMHJNPK_00037	gene	876				
FCMHJNPK_00037	CDS	876				hypothetical protein
FCMHJNPK_00038	gene	330				
FCMHJNPK_00038	CDS	330				putative protein
FCMHJNPK_00039	gene	2316	bioF2			
FCMHJNPK_00039	CDS	2316	bioF2	2.3.1.47	COG0156	Putative 8-amino-7-oxononanoate synthase 2
FCMHJNPK_00040	gene	264	acpP			
FCMHJNPK_00040	CDS	264	acpP			Acyl carrier protein
FCMHJNPK_00041	gene	396				
FCMHJNPK_00041	CDS	396			COG3631	putative protein
FCMHJNPK_00042	gene	183				
FCMHJNPK_00042	CDS	183				hypothetical protein
FCMHJNPK_00043	gene	1557	menE_1			
FCMHJNPK_00043	CDS	1557	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
FCMHJNPK_00044	gene	774				
FCMHJNPK_00044	CDS	774				putative protein
FCMHJNPK_00045	gene	1311				
FCMHJNPK_00045	CDS	1311			COG0477	putative MFS-type transporter
FCMHJNPK_00046	gene	633				
FCMHJNPK_00046	CDS	633				hypothetical protein
FCMHJNPK_00047	gene	348				
FCMHJNPK_00047	CDS	348				hypothetical protein
FCMHJNPK_00048	gene	933				
FCMHJNPK_00048	CDS	933				Proline-rich 28 kDa antigen
FCMHJNPK_00049	gene	2877	leuS			
FCMHJNPK_00049	CDS	2877	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
FCMHJNPK_00050	gene	627				
FCMHJNPK_00050	CDS	627				hypothetical protein
FCMHJNPK_00051	gene	735				
FCMHJNPK_00051	CDS	735			COG1802	putative HTH-type transcriptional regulator
FCMHJNPK_00052	gene	795	rutA			
FCMHJNPK_00052	CDS	795	rutA	1.14.99.46		Pyrimidine monooxygenase RutA
FCMHJNPK_00053	gene	897				
FCMHJNPK_00053	CDS	897		3.5.1.29		2-(acetamidomethylene)succinate hydrolase
FCMHJNPK_00054	gene	1104	ino1			
FCMHJNPK_00054	CDS	1104	ino1	5.5.1.4	COG1260	Inositol-3-phosphate synthase
FCMHJNPK_00055	gene	543				
FCMHJNPK_00055	CDS	543				hypothetical protein
FCMHJNPK_00056	gene	870				
FCMHJNPK_00056	CDS	870				putative protein
FCMHJNPK_00057	gene	414				
FCMHJNPK_00057	CDS	414				putative protein
FCMHJNPK_00058	gene	2106	ponA1_1			
FCMHJNPK_00058	CDS	2106	ponA1_1		COG0744	Penicillin-binding protein 1A
FCMHJNPK_00059	gene	1683				
FCMHJNPK_00059	CDS	1683				hypothetical protein
FCMHJNPK_00060	gene	639	inhA_1			
FCMHJNPK_00060	CDS	639	inhA_1	4.2.1.103		Isonitrile hydratase
FCMHJNPK_00061	gene	291	rpsF			
FCMHJNPK_00061	CDS	291	rpsF		COG0360	30S ribosomal protein S6
FCMHJNPK_00062	gene	495	ssb			
FCMHJNPK_00062	CDS	495	ssb		COG0629	Single-stranded DNA-binding protein
FCMHJNPK_00063	gene	255	rpsR1			
FCMHJNPK_00063	CDS	255	rpsR1		COG0238	30S ribosomal protein S18 1
FCMHJNPK_00064	gene	459	rplI			
FCMHJNPK_00064	CDS	459	rplI		COG0359	50S ribosomal protein L9
FCMHJNPK_00065	gene	522				
FCMHJNPK_00065	CDS	522				hypothetical protein
FCMHJNPK_00066	gene	2625	dnaB			
FCMHJNPK_00066	CDS	2625	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
FCMHJNPK_00067	gene	693				
FCMHJNPK_00067	CDS	693				hypothetical protein
FCMHJNPK_00068	gene	492				
FCMHJNPK_00068	CDS	492				hypothetical protein
FCMHJNPK_00069	gene	570				
FCMHJNPK_00069	CDS	570				hypothetical protein
FCMHJNPK_00070	gene	654				
FCMHJNPK_00070	CDS	654				hypothetical protein
FCMHJNPK_00071	gene	924	cenA			
FCMHJNPK_00071	CDS	924	cenA	3.2.1.4	COG5297	Endoglucanase A
FCMHJNPK_00072	gene	1440	yvdP			
FCMHJNPK_00072	CDS	1440	yvdP	1.21.-.-	COG0277	putative FAD-linked oxidoreductase YvdP
FCMHJNPK_00073	gene	156				
FCMHJNPK_00073	CDS	156				hypothetical protein
FCMHJNPK_00074	gene	2940				
FCMHJNPK_00074	CDS	2940				hypothetical protein
FCMHJNPK_00075	gene	240				
FCMHJNPK_00075	CDS	240				hypothetical protein
FCMHJNPK_00076	gene	402	vapC9_1			
FCMHJNPK_00076	CDS	402	vapC9_1	3.1.-.-	COG4113	Ribonuclease VapC9
FCMHJNPK_00077	gene	2238	icd2			
FCMHJNPK_00077	CDS	2238	icd2	1.1.1.42		Isocitrate dehydrogenase [NADP] 2
FCMHJNPK_00078	gene	570				
FCMHJNPK_00078	CDS	570				hypothetical protein
FCMHJNPK_00079	gene	912				
FCMHJNPK_00079	CDS	912				hypothetical protein
FCMHJNPK_00080	gene	1386	sdaA			
FCMHJNPK_00080	CDS	1386	sdaA	4.3.1.17	COG1760	L-serine dehydratase
FCMHJNPK_00081	gene	1278	glyA2			
FCMHJNPK_00081	CDS	1278	glyA2	2.1.2.1	COG0112	Serine hydroxymethyltransferase 2
FCMHJNPK_00082	gene	91				
FCMHJNPK_00082	misc_RNA	91				Glycine
FCMHJNPK_00083	gene	726				
FCMHJNPK_00083	CDS	726				hypothetical protein
FCMHJNPK_00084	gene	99				
FCMHJNPK_00084	misc_RNA	99				Intron_gpII
FCMHJNPK_00085	gene	1050				
FCMHJNPK_00085	CDS	1050			COG0577	putative ABC transporter permease
FCMHJNPK_00086	gene	843				
FCMHJNPK_00086	CDS	843			COG0664	putative ABC transporter ATP-binding protein
FCMHJNPK_00087	gene	231				
FCMHJNPK_00087	CDS	231				hypothetical protein
FCMHJNPK_00088	gene	1236	hutI_1			
FCMHJNPK_00088	CDS	1236	hutI_1	3.5.2.7		Imidazolonepropionase
FCMHJNPK_00089	gene	1173	metC			
FCMHJNPK_00089	CDS	1173	metC	4.4.1.13	COG1168	Cystathionine beta-lyase
FCMHJNPK_00090	gene	390				
FCMHJNPK_00090	CDS	390				hypothetical protein
FCMHJNPK_00091	gene	831	oleB			
FCMHJNPK_00091	CDS	831	oleB	4.1.1.114	COG0596	Cis-3-alkyl-4-alkyloxetan-2-one decarboxylase
FCMHJNPK_00092	gene	606	tetC			
FCMHJNPK_00092	CDS	606	tetC			Transposon Tn10 TetC protein
FCMHJNPK_00093	gene	594				
FCMHJNPK_00093	CDS	594				hypothetical protein
FCMHJNPK_00094	gene	207				
FCMHJNPK_00094	CDS	207				hypothetical protein
FCMHJNPK_00095	gene	822				
FCMHJNPK_00095	CDS	822				Dormancy associated translation inhibitor
FCMHJNPK_00096	gene	459				
FCMHJNPK_00096	CDS	459				putative protein
FCMHJNPK_00097	gene	345				
FCMHJNPK_00097	CDS	345			COG0640	putative HTH-type transcriptional regulator
FCMHJNPK_00098	gene	480	hycG			
FCMHJNPK_00098	CDS	480	hycG		COG3260	Formate hydrogenlyase subunit 7
FCMHJNPK_00099	gene	1929	hyfB			
FCMHJNPK_00099	CDS	1929	hyfB	1.-.-.-	COG0651	Hydrogenase-4 component B
FCMHJNPK_00100	gene	951	hycD			
FCMHJNPK_00100	CDS	951	hycD		COG0650	Formate hydrogenlyase subunit 4
FCMHJNPK_00101	gene	663				
FCMHJNPK_00101	CDS	663				hypothetical protein
FCMHJNPK_00102	gene	1467	ndhB			
FCMHJNPK_00102	CDS	1467	ndhB	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
FCMHJNPK_00103	gene	1476	hycE			
FCMHJNPK_00103	CDS	1476	hycE		COG3261	Formate hydrogenlyase subunit 5
FCMHJNPK_00104	gene	480				
FCMHJNPK_00104	CDS	480				putative protein
FCMHJNPK_00105	gene	594	COQ3_1			
FCMHJNPK_00105	CDS	594	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
FCMHJNPK_00106	gene	771				
FCMHJNPK_00106	CDS	771			COG3305	putative protein
FCMHJNPK_00107	gene	195				
FCMHJNPK_00107	CDS	195				hypothetical protein
FCMHJNPK_00108	gene	768	mtnN_1			
FCMHJNPK_00108	CDS	768	mtnN_1	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
FCMHJNPK_00109	gene	2286	ctpA			
FCMHJNPK_00109	CDS	2286	ctpA	7.2.2.8	COG2217	Copper-exporting P-type ATPase
FCMHJNPK_00110	gene	711				
FCMHJNPK_00110	CDS	711			COG5660	putative protein
FCMHJNPK_00111	gene	960				
FCMHJNPK_00111	CDS	960				putative protein
FCMHJNPK_00112	gene	1392				
FCMHJNPK_00112	CDS	1392				hypothetical protein
FCMHJNPK_00113	gene	870				
FCMHJNPK_00113	CDS	870		1.-.-.-	COG2175	Putative dioxygenase
FCMHJNPK_00114	gene	552				
FCMHJNPK_00114	CDS	552				putative protein
FCMHJNPK_00115	gene	1599				
FCMHJNPK_00115	CDS	1599		6.2.1.-	COG0318	Putative fatty-acid--CoA ligase FadD10
FCMHJNPK_00116	gene	249				
FCMHJNPK_00116	CDS	249				putative protein
FCMHJNPK_00117	gene	7539	dltA			
FCMHJNPK_00117	CDS	7539	dltA	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
FCMHJNPK_00118	gene	1923				
FCMHJNPK_00118	CDS	1923			COG3336	putative protein
FCMHJNPK_00119	gene	2259	ctpB			
FCMHJNPK_00119	CDS	2259	ctpB	3.6.3.-	COG2217	Cation-transporting P-type ATPase B
FCMHJNPK_00120	gene	1515				
FCMHJNPK_00120	CDS	1515				hypothetical protein
FCMHJNPK_00121	gene	285				
FCMHJNPK_00121	CDS	285				hypothetical protein
FCMHJNPK_00122	gene	1197				
FCMHJNPK_00122	CDS	1197			COG0523	putative protein
FCMHJNPK_00123	gene	4878	ctpI_1			
FCMHJNPK_00123	CDS	4878	ctpI_1	3.6.3.-	COG0474	putative cation-transporting ATPase I
FCMHJNPK_00124	gene	243				
FCMHJNPK_00124	CDS	243				hypothetical protein
FCMHJNPK_00125	gene	1491				
FCMHJNPK_00125	CDS	1491				hypothetical protein
FCMHJNPK_00126	gene	750	glpG			
FCMHJNPK_00126	CDS	750	glpG	3.4.21.105		Rhomboid protease GlpG
FCMHJNPK_00127	gene	2058				
FCMHJNPK_00127	CDS	2058				hypothetical protein
FCMHJNPK_00128	gene	957	rmd			
FCMHJNPK_00128	CDS	957	rmd	1.1.1.281		GDP-6-deoxy-D-mannose reductase
FCMHJNPK_00129	gene	624	gmhA			
FCMHJNPK_00129	CDS	624	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
FCMHJNPK_00130	gene	654	hisB_1			
FCMHJNPK_00130	CDS	654	hisB_1	3.1.3.15		Histidine biosynthesis bifunctional protein HisB
FCMHJNPK_00131	gene	918	hddA			
FCMHJNPK_00131	CDS	918	hddA	2.7.1.168		D-glycero-alpha-D-manno-heptose 7-phosphate kinase
FCMHJNPK_00132	gene	189				
FCMHJNPK_00132	CDS	189				hypothetical protein
FCMHJNPK_00133	gene	756	ldtA			
FCMHJNPK_00133	CDS	756	ldtA	2.3.2.-	COG1376	L,D-transpeptidase 1
FCMHJNPK_00134	gene	945	oxyR			
FCMHJNPK_00134	CDS	945	oxyR			putative hydrogen peroxide-inducible genes activator
FCMHJNPK_00135	gene	1749	oxc			
FCMHJNPK_00135	CDS	1749	oxc	4.1.1.8	COG0028	Oxalyl-CoA decarboxylase
FCMHJNPK_00136	gene	1629	sauT			
FCMHJNPK_00136	CDS	1629	sauT	6.2.1.-	COG0318	putative sulfoacetate--CoA ligase
FCMHJNPK_00137	gene	1830				
FCMHJNPK_00137	CDS	1830			COG0480	Elongation factor G-like protein
FCMHJNPK_00138	gene	354				
