locus_tag	ftype	length_bp	gene	EC_number	COG	product
FBHALMDJ_00001	gene	1491	dnaA			
FBHALMDJ_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
FBHALMDJ_00002	gene	1209	dnaN			
FBHALMDJ_00002	CDS	1209	dnaN		COG0592	Beta sliding clamp
FBHALMDJ_00003	gene	1158	recF			
FBHALMDJ_00003	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
FBHALMDJ_00004	gene	516				
FBHALMDJ_00004	CDS	516				hypothetical protein
FBHALMDJ_00005	gene	2145	gyrB1			
FBHALMDJ_00005	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
FBHALMDJ_00006	gene	2517	gyrA1			
FBHALMDJ_00006	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
FBHALMDJ_00007	gene	198				
FBHALMDJ_00007	CDS	198				hypothetical protein
FBHALMDJ_00008	gene	306				
FBHALMDJ_00008	CDS	306				putative protein
FBHALMDJ_00009	gene	75				
FBHALMDJ_00009	tRNA	75				tRNA-Ile(gat)
FBHALMDJ_00010	gene	74				
FBHALMDJ_00010	tRNA	74				tRNA-Ala(tgc)
FBHALMDJ_00011	gene	108				
FBHALMDJ_00011	CDS	108				hypothetical protein
FBHALMDJ_00012	gene	138				
FBHALMDJ_00012	CDS	138				hypothetical protein
FBHALMDJ_00013	gene	438	cwsA			
FBHALMDJ_00013	CDS	438	cwsA			Cell wall synthesis protein CwsA
FBHALMDJ_00014	gene	549	ppiA			
FBHALMDJ_00014	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
FBHALMDJ_00015	gene	153				
FBHALMDJ_00015	CDS	153				hypothetical protein
FBHALMDJ_00016	gene	360				
FBHALMDJ_00016	CDS	360				hypothetical protein
FBHALMDJ_00017	gene	282	crgA			
FBHALMDJ_00017	CDS	282	crgA			Cell division protein CrgA
FBHALMDJ_00018	gene	744				
FBHALMDJ_00018	CDS	744				hypothetical protein
FBHALMDJ_00019	gene	699	trpG			
FBHALMDJ_00019	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
FBHALMDJ_00020	gene	1881	pknB			
FBHALMDJ_00020	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
FBHALMDJ_00021	gene	1296	pknA			
FBHALMDJ_00021	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
FBHALMDJ_00022	gene	1476	pbpA			
FBHALMDJ_00022	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
FBHALMDJ_00023	gene	1410	rodA			
FBHALMDJ_00023	CDS	1410	rodA		COG0772	putative FtsW-like protein
FBHALMDJ_00024	gene	1536	pstP			
FBHALMDJ_00024	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
FBHALMDJ_00025	gene	468	fhaB			
FBHALMDJ_00025	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
FBHALMDJ_00026	gene	1584	fhaA			
FBHALMDJ_00026	CDS	1584	fhaA		COG1716	FHA domain-containing protein FhaA
FBHALMDJ_00027	gene	85				
FBHALMDJ_00027	tRNA	85				tRNA-Leu(cag)
FBHALMDJ_00028	gene	969	IMPDH			
FBHALMDJ_00028	CDS	969	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
FBHALMDJ_00029	gene	420	whiB5			
FBHALMDJ_00029	CDS	420	whiB5			Transcriptional regulator WhiB5
FBHALMDJ_00030	gene	771				
FBHALMDJ_00030	CDS	771			COG1396	putative HTH-type transcriptional regulator
FBHALMDJ_00031	gene	846				
FBHALMDJ_00031	CDS	846				hypothetical protein
FBHALMDJ_00032	gene	363				
FBHALMDJ_00032	CDS	363				putative protein
FBHALMDJ_00033	gene	1347				
FBHALMDJ_00033	CDS	1347				hypothetical protein
FBHALMDJ_00034	gene	318				
FBHALMDJ_00034	CDS	318				hypothetical protein
FBHALMDJ_00035	gene	306				
FBHALMDJ_00035	CDS	306				putative protein
FBHALMDJ_00036	gene	144				
FBHALMDJ_00036	CDS	144				putative proteinA
FBHALMDJ_00037	gene	876				
FBHALMDJ_00037	CDS	876				hypothetical protein
FBHALMDJ_00038	gene	330				
FBHALMDJ_00038	CDS	330				putative protein
FBHALMDJ_00039	gene	2316	bioF2			
FBHALMDJ_00039	CDS	2316	bioF2	2.3.1.47	COG0156	Putative 8-amino-7-oxononanoate synthase 2
FBHALMDJ_00040	gene	264	acpP			
FBHALMDJ_00040	CDS	264	acpP			Acyl carrier protein
FBHALMDJ_00041	gene	396				
FBHALMDJ_00041	CDS	396			COG3631	putative protein
FBHALMDJ_00042	gene	1689	menE_1			
FBHALMDJ_00042	CDS	1689	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
FBHALMDJ_00043	gene	774				
FBHALMDJ_00043	CDS	774				putative protein
FBHALMDJ_00044	gene	1311				
FBHALMDJ_00044	CDS	1311			COG0477	putative MFS-type transporter
FBHALMDJ_00045	gene	633				
FBHALMDJ_00045	CDS	633				hypothetical protein
FBHALMDJ_00046	gene	348				
FBHALMDJ_00046	CDS	348				hypothetical protein
FBHALMDJ_00047	gene	933				
FBHALMDJ_00047	CDS	933				Proline-rich 28 kDa antigen
FBHALMDJ_00048	gene	2877	leuS			
FBHALMDJ_00048	CDS	2877	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
FBHALMDJ_00049	gene	627				
FBHALMDJ_00049	CDS	627				hypothetical protein
FBHALMDJ_00050	gene	735				
FBHALMDJ_00050	CDS	735			COG1802	putative HTH-type transcriptional regulator
FBHALMDJ_00051	gene	795	rutA			
FBHALMDJ_00051	CDS	795	rutA	1.14.99.46		Pyrimidine monooxygenase RutA
FBHALMDJ_00052	gene	897				
FBHALMDJ_00052	CDS	897		3.5.1.29		2-(acetamidomethylene)succinate hydrolase
FBHALMDJ_00053	gene	1104	ino1			
FBHALMDJ_00053	CDS	1104	ino1	5.5.1.4	COG1260	Inositol-3-phosphate synthase
FBHALMDJ_00054	gene	543				
FBHALMDJ_00054	CDS	543				hypothetical protein
FBHALMDJ_00055	gene	870				
FBHALMDJ_00055	CDS	870				putative protein
FBHALMDJ_00056	gene	414				
FBHALMDJ_00056	CDS	414				putative protein
FBHALMDJ_00057	gene	2463	ponA1			
FBHALMDJ_00057	CDS	2463	ponA1		COG0744	Penicillin-binding protein 1A
FBHALMDJ_00058	gene	1683				
FBHALMDJ_00058	CDS	1683				hypothetical protein
FBHALMDJ_00059	gene	639	inhA_1			
FBHALMDJ_00059	CDS	639	inhA_1	4.2.1.103		Isonitrile hydratase
FBHALMDJ_00060	gene	291	rpsF			
FBHALMDJ_00060	CDS	291	rpsF		COG0360	30S ribosomal protein S6
FBHALMDJ_00061	gene	495	ssb			
FBHALMDJ_00061	CDS	495	ssb		COG0629	Single-stranded DNA-binding protein
FBHALMDJ_00062	gene	255	rpsR1_1			
FBHALMDJ_00062	CDS	255	rpsR1_1		COG0238	30S ribosomal protein S18 1
FBHALMDJ_00063	gene	459	rplI			
FBHALMDJ_00063	CDS	459	rplI		COG0359	50S ribosomal protein L9
FBHALMDJ_00064	gene	522				
FBHALMDJ_00064	CDS	522				hypothetical protein
FBHALMDJ_00065	gene	2625	dnaB			
FBHALMDJ_00065	CDS	2625	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
FBHALMDJ_00066	gene	693				
FBHALMDJ_00066	CDS	693				hypothetical protein
FBHALMDJ_00067	gene	1059				
FBHALMDJ_00067	CDS	1059				hypothetical protein
FBHALMDJ_00068	gene	201				
FBHALMDJ_00068	CDS	201				hypothetical protein
FBHALMDJ_00069	gene	213				
FBHALMDJ_00069	CDS	213				hypothetical protein
FBHALMDJ_00070	gene	924	cenA			
FBHALMDJ_00070	CDS	924	cenA	3.2.1.4	COG5297	Endoglucanase A
FBHALMDJ_00071	gene	1440	yvdP			
FBHALMDJ_00071	CDS	1440	yvdP	1.21.-.-	COG0277	putative FAD-linked oxidoreductase YvdP
FBHALMDJ_00072	gene	156				
FBHALMDJ_00072	CDS	156				hypothetical protein
FBHALMDJ_00073	gene	2940				
FBHALMDJ_00073	CDS	2940				hypothetical protein
FBHALMDJ_00074	gene	240				
FBHALMDJ_00074	CDS	240				hypothetical protein
FBHALMDJ_00075	gene	402	vapC9_1			
FBHALMDJ_00075	CDS	402	vapC9_1	3.1.-.-	COG4113	Ribonuclease VapC9
FBHALMDJ_00076	gene	2238	icd2			
FBHALMDJ_00076	CDS	2238	icd2	1.1.1.42		Isocitrate dehydrogenase [NADP] 2
FBHALMDJ_00077	gene	570				
FBHALMDJ_00077	CDS	570				hypothetical protein
