locus_tag	ftype	length_bp	gene	EC_number	COG	product
HFFFBPOA_00001	gene	1491	dnaA			
HFFFBPOA_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
HFFFBPOA_00002	gene	885				
HFFFBPOA_00002	CDS	885				IS3 family transposase IS987
HFFFBPOA_00003	gene	327				
HFFFBPOA_00003	CDS	327				IS3 family transposase IS987
HFFFBPOA_00004	gene	1209	dnaN			
HFFFBPOA_00004	CDS	1209	dnaN		COG0592	Beta sliding clamp
HFFFBPOA_00005	gene	1158	recF			
HFFFBPOA_00005	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
HFFFBPOA_00006	gene	516				
HFFFBPOA_00006	CDS	516				hypothetical protein
HFFFBPOA_00007	gene	2145	gyrB1			
HFFFBPOA_00007	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
HFFFBPOA_00008	gene	2517	gyrA1			
HFFFBPOA_00008	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
HFFFBPOA_00009	gene	915				
HFFFBPOA_00009	CDS	915				putative protein
HFFFBPOA_00010	gene	75				
HFFFBPOA_00010	tRNA	75				tRNA-Ile(gat)
HFFFBPOA_00011	gene	74				
HFFFBPOA_00011	tRNA	74				tRNA-Ala(tgc)
HFFFBPOA_00012	gene	108				
HFFFBPOA_00012	CDS	108				hypothetical protein
HFFFBPOA_00013	gene	138				
HFFFBPOA_00013	CDS	138				hypothetical protein
HFFFBPOA_00014	gene	438	cwsA			
HFFFBPOA_00014	CDS	438	cwsA			Cell wall synthesis protein CwsA
HFFFBPOA_00015	gene	549	ppiA			
HFFFBPOA_00015	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
HFFFBPOA_00016	gene	153				
HFFFBPOA_00016	CDS	153				hypothetical protein
HFFFBPOA_00017	gene	360				
HFFFBPOA_00017	CDS	360				hypothetical protein
HFFFBPOA_00018	gene	282	crgA			
HFFFBPOA_00018	CDS	282	crgA			Cell division protein CrgA
HFFFBPOA_00019	gene	744				
HFFFBPOA_00019	CDS	744				hypothetical protein
HFFFBPOA_00020	gene	699	trpG			
HFFFBPOA_00020	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
HFFFBPOA_00021	gene	1881	pknB			
HFFFBPOA_00021	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
HFFFBPOA_00022	gene	1296	pknA			
HFFFBPOA_00022	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
HFFFBPOA_00023	gene	1476	pbpA			
HFFFBPOA_00023	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
HFFFBPOA_00024	gene	1410	rodA			
