locus_tag	ftype	length_bp	gene	EC_number	COG	product
INOEJNDB_00001	gene	1491	dnaA			
INOEJNDB_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
INOEJNDB_00002	gene	1209	dnaN			
INOEJNDB_00002	CDS	1209	dnaN		COG0592	Beta sliding clamp
INOEJNDB_00003	gene	1158	recF			
INOEJNDB_00003	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
INOEJNDB_00004	gene	516				
INOEJNDB_00004	CDS	516				hypothetical protein
INOEJNDB_00005	gene	2028	gyrB			
INOEJNDB_00005	CDS	2028	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
INOEJNDB_00006	gene	2517	gyrA1			
INOEJNDB_00006	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
INOEJNDB_00007	gene	915				
INOEJNDB_00007	CDS	915				putative protein
INOEJNDB_00008	gene	75				
INOEJNDB_00008	tRNA	75				tRNA-Ile(gat)
INOEJNDB_00009	gene	74				
INOEJNDB_00009	tRNA	74				tRNA-Ala(tgc)
INOEJNDB_00010	gene	108				
INOEJNDB_00010	CDS	108				hypothetical protein
INOEJNDB_00011	gene	438	cwsA			
INOEJNDB_00011	CDS	438	cwsA			Cell wall synthesis protein CwsA
INOEJNDB_00012	gene	549	ppiA			
INOEJNDB_00012	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
INOEJNDB_00013	gene	153				
INOEJNDB_00013	CDS	153				hypothetical protein
INOEJNDB_00014	gene	360				
INOEJNDB_00014	CDS	360				hypothetical protein
INOEJNDB_00015	gene	282	crgA			
INOEJNDB_00015	CDS	282	crgA			Cell division protein CrgA
INOEJNDB_00016	gene	744				
INOEJNDB_00016	CDS	744				hypothetical protein
INOEJNDB_00017	gene	699	trpG			
INOEJNDB_00017	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
INOEJNDB_00018	gene	1881	pknB			
INOEJNDB_00018	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
