locus_tag	ftype	length_bp	gene	EC_number	COG	product
GENLINAP_00001	gene	3627				
GENLINAP_00001	CDS	3627				hypothetical protein
GENLINAP_00002	gene	4083				
GENLINAP_00002	CDS	4083				hypothetical protein
GENLINAP_00003	gene	1509				
GENLINAP_00003	CDS	1509		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD17
GENLINAP_00004	gene	1122				
GENLINAP_00004	CDS	1122		1.3.99.-		Acyl-CoA dehydrogenase FadE27
GENLINAP_00005	gene	1203				
GENLINAP_00005	CDS	1203		1.3.99.-		Acyl-CoA dehydrogenase FadE26
GENLINAP_00006	gene	192				
GENLINAP_00006	CDS	192				hypothetical protein
GENLINAP_00007	gene	954				
GENLINAP_00007	CDS	954		1.1.1.-	COG1028	Putative short-chain type dehydrogenase/reductase
GENLINAP_00008	gene	765				
GENLINAP_00008	CDS	765				hypothetical protein
GENLINAP_00009	gene	843				
GENLINAP_00009	CDS	843				hypothetical protein
GENLINAP_00010	gene	1203				
GENLINAP_00010	CDS	1203				hypothetical protein
GENLINAP_00011	gene	1053				
GENLINAP_00011	CDS	1053				hypothetical protein
GENLINAP_00012	gene	1074				
GENLINAP_00012	CDS	1074				hypothetical protein
GENLINAP_00013	gene	1353				
GENLINAP_00013	CDS	1353				hypothetical protein
GENLINAP_00014	gene	1155	lprN_1			
GENLINAP_00014	CDS	1155	lprN_1			Lipoprotein LprN
GENLINAP_00015	gene	1695				
GENLINAP_00015	CDS	1695				hypothetical protein
GENLINAP_00016	gene	729				
GENLINAP_00016	CDS	729				hypothetical protein
GENLINAP_00017	gene	483				
GENLINAP_00017	CDS	483				hypothetical protein
GENLINAP_00018	gene	579				
GENLINAP_00018	CDS	579				hypothetical protein
GENLINAP_00019	gene	1503	otsA			
GENLINAP_00019	CDS	1503	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
GENLINAP_00020	gene	165				
GENLINAP_00020	CDS	165				hypothetical protein
GENLINAP_00021	gene	324				
GENLINAP_00021	CDS	324			COG1695	Transcriptional regulator
GENLINAP_00022	gene	984	lipF			
GENLINAP_00022	CDS	984	lipF	3.1.1.1		Carboxylesterase LipF
GENLINAP_00023	gene	492				
GENLINAP_00023	CDS	492			COG2259	putative membrane protein
GENLINAP_00024	gene	945				
GENLINAP_00024	CDS	945				hypothetical protein
GENLINAP_00025	gene	1539	lcpA_1			
GENLINAP_00025	CDS	1539	lcpA_1		COG1316	Cell wall biosynthesis protein LcpA
GENLINAP_00026	gene	663				
GENLINAP_00026	CDS	663				hypothetical protein
GENLINAP_00027	gene	606				
GENLINAP_00027	CDS	606				hypothetical protein
GENLINAP_00028	gene	690				
GENLINAP_00028	CDS	690				hypothetical protein
GENLINAP_00029	gene	1494				
GENLINAP_00029	CDS	1494		2.3.1.20		Putative diacyglycerol O-acyltransferase
GENLINAP_00030	gene	1047				
GENLINAP_00030	CDS	1047				putative membrane protein
GENLINAP_00031	gene	1302				
GENLINAP_00031	CDS	1302				putative membrane protein
GENLINAP_00032	gene	1182				
GENLINAP_00032	CDS	1182				PPE family protein PPE18
GENLINAP_00033	gene	297				
GENLINAP_00033	CDS	297				PE family protein PE13
GENLINAP_00034	gene	1350	kgtP			
GENLINAP_00034	CDS	1350	kgtP			Alpha-ketoglutarate permease
GENLINAP_00035	gene	903	menH			
GENLINAP_00035	CDS	903	menH	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
GENLINAP_00036	gene	507				
GENLINAP_00036	CDS	507				hypothetical protein
GENLINAP_00037	gene	390				
GENLINAP_00037	CDS	390				hypothetical protein
GENLINAP_00038	gene	1674	ilvB2			
GENLINAP_00038	CDS	1674	ilvB2	2.2.1.6	COG0028	Putative acetolactate synthase large subunit IlvB2
GENLINAP_00039	gene	1011				
GENLINAP_00039	CDS	1011		4.1.3.39		4-hydroxy-2-oxovalerate aldolase
GENLINAP_00040	gene	1095	fcl			
GENLINAP_00040	CDS	1095	fcl	1.1.1.271		GDP-L-fucose synthase
GENLINAP_00041	gene	960				
GENLINAP_00041	CDS	960				putative protein
GENLINAP_00042	gene	609	rmlC			
GENLINAP_00042	CDS	609	rmlC	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
GENLINAP_00043	gene	996	rmlB			
GENLINAP_00043	CDS	996	rmlB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
GENLINAP_00044	gene	858				
GENLINAP_00044	CDS	858				hypothetical protein
GENLINAP_00045	gene	222	infA			
GENLINAP_00045	CDS	222	infA		COG0361	Translation initiation factor IF-1
GENLINAP_00046	gene	375	rpsM			
GENLINAP_00046	CDS	375	rpsM		COG0099	30S ribosomal protein S13
GENLINAP_00047	gene	420	rpsK			
GENLINAP_00047	CDS	420	rpsK		COG0100	30S ribosomal protein S11
