locus_tag	ftype	length_bp	gene	EC_number	COG	product
KMMEJAPO_00001	gene	1491	dnaA			
KMMEJAPO_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
KMMEJAPO_00002	gene	1209	dnaN			
KMMEJAPO_00002	CDS	1209	dnaN		COG0592	Beta sliding clamp
KMMEJAPO_00003	gene	1158	recF			
KMMEJAPO_00003	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
KMMEJAPO_00004	gene	516				
KMMEJAPO_00004	CDS	516				hypothetical protein
KMMEJAPO_00005	gene	2145	gyrB1			
KMMEJAPO_00005	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
KMMEJAPO_00006	gene	2517	gyrA			
KMMEJAPO_00006	CDS	2517	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
KMMEJAPO_00007	gene	198				
KMMEJAPO_00007	CDS	198				hypothetical protein
KMMEJAPO_00008	gene	306				
KMMEJAPO_00008	CDS	306				putative protein
KMMEJAPO_00009	gene	75				
KMMEJAPO_00009	tRNA	75				tRNA-Ile(gat)
KMMEJAPO_00010	gene	74				
KMMEJAPO_00010	tRNA	74				tRNA-Ala(tgc)
KMMEJAPO_00011	gene	108				
KMMEJAPO_00011	CDS	108				hypothetical protein
KMMEJAPO_00012	gene	138				
KMMEJAPO_00012	CDS	138				hypothetical protein
KMMEJAPO_00013	gene	438	cwsA			
KMMEJAPO_00013	CDS	438	cwsA			Cell wall synthesis protein CwsA
KMMEJAPO_00014	gene	549	ppiA			
KMMEJAPO_00014	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
KMMEJAPO_00015	gene	153				
KMMEJAPO_00015	CDS	153				hypothetical protein
KMMEJAPO_00016	gene	360				
KMMEJAPO_00016	CDS	360				hypothetical protein
KMMEJAPO_00017	gene	282	crgA			
KMMEJAPO_00017	CDS	282	crgA			Cell division protein CrgA
KMMEJAPO_00018	gene	744				
KMMEJAPO_00018	CDS	744				hypothetical protein
KMMEJAPO_00019	gene	699	trpG			
KMMEJAPO_00019	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
KMMEJAPO_00020	gene	1881	pknB			
KMMEJAPO_00020	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
KMMEJAPO_00021	gene	1296	pknA			
KMMEJAPO_00021	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
KMMEJAPO_00022	gene	1476	pbpA			
KMMEJAPO_00022	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
KMMEJAPO_00023	gene	1410	rodA			
KMMEJAPO_00023	CDS	1410	rodA		COG0772	putative FtsW-like protein
KMMEJAPO_00024	gene	1536	pstP			
KMMEJAPO_00024	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
KMMEJAPO_00025	gene	468	fhaB			
KMMEJAPO_00025	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
KMMEJAPO_00026	gene	1584	fhaA			
KMMEJAPO_00026	CDS	1584	fhaA		COG1716	FHA domain-containing protein FhaA
KMMEJAPO_00027	gene	85				
KMMEJAPO_00027	tRNA	85				tRNA-Leu(cag)
KMMEJAPO_00028	gene	969	IMPDH			
KMMEJAPO_00028	CDS	969	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
KMMEJAPO_00029	gene	420	whiB5			
KMMEJAPO_00029	CDS	420	whiB5			Transcriptional regulator WhiB5
KMMEJAPO_00030	gene	771				
KMMEJAPO_00030	CDS	771			COG1396	putative HTH-type transcriptional regulator
KMMEJAPO_00031	gene	846				
KMMEJAPO_00031	CDS	846				hypothetical protein
KMMEJAPO_00032	gene	363				
KMMEJAPO_00032	CDS	363				putative protein
KMMEJAPO_00033	gene	1347				
KMMEJAPO_00033	CDS	1347				hypothetical protein
KMMEJAPO_00034	gene	318				
KMMEJAPO_00034	CDS	318				hypothetical protein
KMMEJAPO_00035	gene	306				
KMMEJAPO_00035	CDS	306				putative protein
KMMEJAPO_00036	gene	144				
KMMEJAPO_00036	CDS	144				putative proteinA
KMMEJAPO_00037	gene	876				
KMMEJAPO_00037	CDS	876				hypothetical protein
KMMEJAPO_00038	gene	330				
KMMEJAPO_00038	CDS	330				putative protein
KMMEJAPO_00039	gene	2316	bioF2			
KMMEJAPO_00039	CDS	2316	bioF2	2.3.1.47	COG0156	Putative 8-amino-7-oxononanoate synthase 2
KMMEJAPO_00040	gene	264	acpP			
KMMEJAPO_00040	CDS	264	acpP			Acyl carrier protein
KMMEJAPO_00041	gene	396				
KMMEJAPO_00041	CDS	396			COG3631	putative protein
KMMEJAPO_00042	gene	1689	menE_1			
KMMEJAPO_00042	CDS	1689	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
KMMEJAPO_00043	gene	774				
KMMEJAPO_00043	CDS	774				putative protein
KMMEJAPO_00044	gene	1311				
KMMEJAPO_00044	CDS	1311			COG0477	putative MFS-type transporter
KMMEJAPO_00045	gene	633				
KMMEJAPO_00045	CDS	633				hypothetical protein
KMMEJAPO_00046	gene	348				
KMMEJAPO_00046	CDS	348				hypothetical protein
KMMEJAPO_00047	gene	933				
KMMEJAPO_00047	CDS	933				Proline-rich 28 kDa antigen
KMMEJAPO_00048	gene	2877	leuS			
KMMEJAPO_00048	CDS	2877	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
KMMEJAPO_00049	gene	627				
KMMEJAPO_00049	CDS	627				hypothetical protein
KMMEJAPO_00050	gene	735				
KMMEJAPO_00050	CDS	735			COG1802	putative HTH-type transcriptional regulator
KMMEJAPO_00051	gene	795	rutA			
KMMEJAPO_00051	CDS	795	rutA	1.14.99.46		Pyrimidine monooxygenase RutA
KMMEJAPO_00052	gene	897				
KMMEJAPO_00052	CDS	897		3.5.1.29		2-(acetamidomethylene)succinate hydrolase
KMMEJAPO_00053	gene	1104	ino1			
KMMEJAPO_00053	CDS	1104	ino1	5.5.1.4	COG1260	Inositol-3-phosphate synthase
KMMEJAPO_00054	gene	543				
KMMEJAPO_00054	CDS	543				hypothetical protein
KMMEJAPO_00055	gene	870				
KMMEJAPO_00055	CDS	870				putative protein
KMMEJAPO_00056	gene	414				
KMMEJAPO_00056	CDS	414				putative protein
KMMEJAPO_00057	gene	2460	ponA1			
KMMEJAPO_00057	CDS	2460	ponA1		COG0744	Penicillin-binding protein 1A
KMMEJAPO_00058	gene	1683				
KMMEJAPO_00058	CDS	1683				hypothetical protein
KMMEJAPO_00059	gene	639	inhA_1			
KMMEJAPO_00059	CDS	639	inhA_1	4.2.1.103		Isonitrile hydratase
KMMEJAPO_00060	gene	291	rpsF			
KMMEJAPO_00060	CDS	291	rpsF		COG0360	30S ribosomal protein S6
KMMEJAPO_00061	gene	495	ssb			
KMMEJAPO_00061	CDS	495	ssb		COG0629	Single-stranded DNA-binding protein
KMMEJAPO_00062	gene	255	rpsR1_1			
KMMEJAPO_00062	CDS	255	rpsR1_1		COG0238	30S ribosomal protein S18 1
KMMEJAPO_00063	gene	459	rplI			
KMMEJAPO_00063	CDS	459	rplI		COG0359	50S ribosomal protein L9
KMMEJAPO_00064	gene	522				
KMMEJAPO_00064	CDS	522				hypothetical protein
KMMEJAPO_00065	gene	2625	dnaB			
KMMEJAPO_00065	CDS	2625	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
KMMEJAPO_00066	gene	693				
KMMEJAPO_00066	CDS	693				hypothetical protein
KMMEJAPO_00067	gene	1059				
KMMEJAPO_00067	CDS	1059				hypothetical protein
KMMEJAPO_00068	gene	654				
KMMEJAPO_00068	CDS	654				hypothetical protein
KMMEJAPO_00069	gene	924	cenA			
KMMEJAPO_00069	CDS	924	cenA	3.2.1.4	COG5297	Endoglucanase A
KMMEJAPO_00070	gene	1440	yvdP			
KMMEJAPO_00070	CDS	1440	yvdP	1.21.-.-	COG0277	putative FAD-linked oxidoreductase YvdP
KMMEJAPO_00071	gene	156				
KMMEJAPO_00071	CDS	156				hypothetical protein
KMMEJAPO_00072	gene	2940				
KMMEJAPO_00072	CDS	2940				hypothetical protein
KMMEJAPO_00073	gene	240				
KMMEJAPO_00073	CDS	240				hypothetical protein
KMMEJAPO_00074	gene	402	vapC9_1			
KMMEJAPO_00074	CDS	402	vapC9_1	3.1.-.-	COG4113	Ribonuclease VapC9
KMMEJAPO_00075	gene	2238	icd2			
KMMEJAPO_00075	CDS	2238	icd2	1.1.1.42		Isocitrate dehydrogenase [NADP] 2
KMMEJAPO_00076	gene	570				
KMMEJAPO_00076	CDS	570				hypothetical protein
KMMEJAPO_00077	gene	912				
KMMEJAPO_00077	CDS	912				hypothetical protein
KMMEJAPO_00078	gene	1386	sdaA			
KMMEJAPO_00078	CDS	1386	sdaA	4.3.1.17	COG1760	L-serine dehydratase
KMMEJAPO_00079	gene	1278	glyA2			
KMMEJAPO_00079	CDS	1278	glyA2	2.1.2.1	COG0112	Serine hydroxymethyltransferase 2
KMMEJAPO_00080	gene	91				
KMMEJAPO_00080	misc_RNA	91				Glycine
KMMEJAPO_00081	gene	708				
KMMEJAPO_00081	CDS	708				hypothetical protein
KMMEJAPO_00082	gene	99				
KMMEJAPO_00082	misc_RNA	99				Intron_gpII
KMMEJAPO_00083	gene	1050				
KMMEJAPO_00083	CDS	1050			COG0577	putative ABC transporter permease
KMMEJAPO_00084	gene	993				
KMMEJAPO_00084	CDS	993			COG0664	putative ABC transporter ATP-binding protein
KMMEJAPO_00085	gene	1236	hutI_1			
KMMEJAPO_00085	CDS	1236	hutI_1	3.5.2.7		Imidazolonepropionase
KMMEJAPO_00086	gene	1173	metC			
KMMEJAPO_00086	CDS	1173	metC	4.4.1.13	COG1168	Cystathionine beta-lyase
KMMEJAPO_00087	gene	390				
KMMEJAPO_00087	CDS	390				hypothetical protein
KMMEJAPO_00088	gene	831	oleB			
KMMEJAPO_00088	CDS	831	oleB	4.1.1.114	COG0596	Cis-3-alkyl-4-alkyloxetan-2-one decarboxylase
KMMEJAPO_00089	gene	606	tetC			
KMMEJAPO_00089	CDS	606	tetC			Transposon Tn10 TetC protein
KMMEJAPO_00090	gene	594				
