locus_tag	ftype	length_bp	gene	EC_number	COG	product
FCKLCGCH_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
FCKLCGCH_00002	CDS	327				IS3 family transposase IS987
FCKLCGCH_00003	CDS	885				IS3 family transposase IS987
FCKLCGCH_00004	CDS	1209	dnaN		COG0592	Beta sliding clamp
FCKLCGCH_00005	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
FCKLCGCH_00006	CDS	516				hypothetical protein
FCKLCGCH_00007	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
FCKLCGCH_00008	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
FCKLCGCH_00009	CDS	198				hypothetical protein
FCKLCGCH_00010	CDS	306				putative protein
FCKLCGCH_00011	tRNA	75				tRNA-Ile(gat)
FCKLCGCH_00012	tRNA	74				tRNA-Ala(tgc)
FCKLCGCH_00013	CDS	108				hypothetical protein
FCKLCGCH_00014	CDS	138				hypothetical protein
FCKLCGCH_00015	CDS	438	cwsA			Cell wall synthesis protein CwsA
FCKLCGCH_00016	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
FCKLCGCH_00017	CDS	153				hypothetical protein
FCKLCGCH_00018	CDS	360				hypothetical protein
FCKLCGCH_00019	CDS	282	crgA			Cell division protein CrgA
FCKLCGCH_00020	CDS	744				hypothetical protein
FCKLCGCH_00021	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
FCKLCGCH_00022	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
FCKLCGCH_00023	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
FCKLCGCH_00024	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
FCKLCGCH_00025	CDS	1410	rodA		COG0772	putative FtsW-like protein
FCKLCGCH_00026	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
FCKLCGCH_00027	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
FCKLCGCH_00028	CDS	585	fhaA		COG1716	FHA domain-containing protein FhaA
FCKLCGCH_00029	CDS	306				hypothetical protein
FCKLCGCH_00030	tRNA	85				tRNA-Leu(cag)
FCKLCGCH_00031	CDS	969	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
FCKLCGCH_00032	CDS	420	whiB5			Transcriptional regulator WhiB5
FCKLCGCH_00033	CDS	771			COG1396	putative HTH-type transcriptional regulator
FCKLCGCH_00034	CDS	858				hypothetical protein
