locus_tag	ftype	length_bp	gene	EC_number	COG	product
EJHPOOMH_00001	gene	1491	dnaA			
EJHPOOMH_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
EJHPOOMH_00002	gene	327				
EJHPOOMH_00002	CDS	327				IS3 family transposase IS987
EJHPOOMH_00003	gene	885				
EJHPOOMH_00003	CDS	885				IS3 family transposase IS987
EJHPOOMH_00004	gene	1209	dnaN			
EJHPOOMH_00004	CDS	1209	dnaN		COG0592	Beta sliding clamp
EJHPOOMH_00005	gene	1158	recF			
EJHPOOMH_00005	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
EJHPOOMH_00006	gene	516				
EJHPOOMH_00006	CDS	516				hypothetical protein
EJHPOOMH_00007	gene	2145	gyrB1			
EJHPOOMH_00007	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
EJHPOOMH_00008	gene	2517	gyrA1			
EJHPOOMH_00008	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
EJHPOOMH_00009	gene	198				
EJHPOOMH_00009	CDS	198				hypothetical protein
EJHPOOMH_00010	gene	306				
EJHPOOMH_00010	CDS	306				putative protein
EJHPOOMH_00011	gene	75				
EJHPOOMH_00011	tRNA	75				tRNA-Ile(gat)
EJHPOOMH_00012	gene	74				
EJHPOOMH_00012	tRNA	74				tRNA-Ala(tgc)
EJHPOOMH_00013	gene	108				
EJHPOOMH_00013	CDS	108				hypothetical protein
EJHPOOMH_00014	gene	138				
EJHPOOMH_00014	CDS	138				hypothetical protein
EJHPOOMH_00015	gene	438	cwsA			
EJHPOOMH_00015	CDS	438	cwsA			Cell wall synthesis protein CwsA
EJHPOOMH_00016	gene	549	ppiA			
EJHPOOMH_00016	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
EJHPOOMH_00017	gene	153				
EJHPOOMH_00017	CDS	153				hypothetical protein
EJHPOOMH_00018	gene	360				
EJHPOOMH_00018	CDS	360				hypothetical protein
EJHPOOMH_00019	gene	282	crgA			
EJHPOOMH_00019	CDS	282	crgA			Cell division protein CrgA
