locus_tag	ftype	length_bp	gene	EC_number	COG	product
OBGJCKGB_00001	gene	1491	dnaA			
OBGJCKGB_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
OBGJCKGB_00002	gene	327				
OBGJCKGB_00002	CDS	327				IS3 family transposase IS987
OBGJCKGB_00003	gene	885				
OBGJCKGB_00003	CDS	885				IS3 family transposase IS987
OBGJCKGB_00004	gene	1209	dnaN			
OBGJCKGB_00004	CDS	1209	dnaN		COG0592	Beta sliding clamp
OBGJCKGB_00005	gene	1158	recF			
OBGJCKGB_00005	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
OBGJCKGB_00006	gene	516				
OBGJCKGB_00006	CDS	516				hypothetical protein
OBGJCKGB_00007	gene	2145	gyrB1			
OBGJCKGB_00007	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
OBGJCKGB_00008	gene	2517	gyrA1			
OBGJCKGB_00008	CDS	2517	gyrA1	5.6.2.2		DNA gyrase subunit A
OBGJCKGB_00009	gene	915				
OBGJCKGB_00009	CDS	915				putative protein
OBGJCKGB_00010	gene	75				
OBGJCKGB_00010	tRNA	75				tRNA-Ile(gat)
OBGJCKGB_00011	gene	74				
OBGJCKGB_00011	tRNA	74				tRNA-Ala(tgc)
OBGJCKGB_00012	gene	108				
OBGJCKGB_00012	CDS	108				hypothetical protein
OBGJCKGB_00013	gene	138				
OBGJCKGB_00013	CDS	138				hypothetical protein
OBGJCKGB_00014	gene	438	cwsA			
OBGJCKGB_00014	CDS	438	cwsA			Cell wall synthesis protein CwsA
OBGJCKGB_00015	gene	549	ppiA			
OBGJCKGB_00015	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
OBGJCKGB_00016	gene	153				
OBGJCKGB_00016	CDS	153				hypothetical protein
OBGJCKGB_00017	gene	360				
OBGJCKGB_00017	CDS	360				hypothetical protein
OBGJCKGB_00018	gene	282	crgA			
OBGJCKGB_00018	CDS	282	crgA			Cell division protein CrgA
OBGJCKGB_00019	gene	744				
OBGJCKGB_00019	CDS	744				hypothetical protein
OBGJCKGB_00020	gene	699	trpG			
OBGJCKGB_00020	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
OBGJCKGB_00021	gene	1881	pknB			
OBGJCKGB_00021	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
OBGJCKGB_00022	gene	1296	pknA			
OBGJCKGB_00022	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
OBGJCKGB_00023	gene	1476	pbpA			
OBGJCKGB_00023	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
OBGJCKGB_00024	gene	1410	rodA			
OBGJCKGB_00024	CDS	1410	rodA		COG0772	putative FtsW-like protein
OBGJCKGB_00025	gene	1536	pstP			
OBGJCKGB_00025	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
OBGJCKGB_00026	gene	468	fhaB			
OBGJCKGB_00026	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
OBGJCKGB_00027	gene	1566	fhaA			
OBGJCKGB_00027	CDS	1566	fhaA		COG1716	FHA domain-containing protein FhaA
OBGJCKGB_00028	gene	85				
OBGJCKGB_00028	tRNA	85				tRNA-Leu(cag)
OBGJCKGB_00029	gene	969	IMPDH			
OBGJCKGB_00029	CDS	969	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
OBGJCKGB_00030	gene	420	whiB5			
OBGJCKGB_00030	CDS	420	whiB5			Transcriptional regulator WhiB5
OBGJCKGB_00031	gene	771				
OBGJCKGB_00031	CDS	771			COG1396	putative HTH-type transcriptional regulator
OBGJCKGB_00032	gene	858				
OBGJCKGB_00032	CDS	858				hypothetical protein
OBGJCKGB_00033	gene	363				
OBGJCKGB_00033	CDS	363				putative protein
OBGJCKGB_00034	gene	1347				
OBGJCKGB_00034	CDS	1347				hypothetical protein
OBGJCKGB_00035	gene	318				
OBGJCKGB_00035	CDS	318				hypothetical protein
OBGJCKGB_00036	gene	306				
OBGJCKGB_00036	CDS	306				putative protein
OBGJCKGB_00037	gene	144				
OBGJCKGB_00037	CDS	144				putative proteinA
OBGJCKGB_00038	gene	876				
OBGJCKGB_00038	CDS	876				hypothetical protein
OBGJCKGB_00039	gene	330				
OBGJCKGB_00039	CDS	330				putative protein
OBGJCKGB_00040	gene	2316	bioF2			
OBGJCKGB_00040	CDS	2316	bioF2	2.3.1.47	COG0156	Putative 8-amino-7-oxononanoate synthase 2
OBGJCKGB_00041	gene	264	acpP			
OBGJCKGB_00041	CDS	264	acpP			Acyl carrier protein
OBGJCKGB_00042	gene	396				
OBGJCKGB_00042	CDS	396			COG3631	putative protein
OBGJCKGB_00043	gene	1689	menE_1			
OBGJCKGB_00043	CDS	1689	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
OBGJCKGB_00044	gene	774				
OBGJCKGB_00044	CDS	774				putative protein
OBGJCKGB_00045	gene	1311				
OBGJCKGB_00045	CDS	1311			COG0477	putative MFS-type transporter
OBGJCKGB_00046	gene	633				
OBGJCKGB_00046	CDS	633				hypothetical protein
OBGJCKGB_00047	gene	348				
OBGJCKGB_00047	CDS	348				hypothetical protein
OBGJCKGB_00048	gene	933				
OBGJCKGB_00048	CDS	933				Proline-rich 28 kDa antigen
OBGJCKGB_00049	gene	2877	leuS			
OBGJCKGB_00049	CDS	2877	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
OBGJCKGB_00050	gene	627				
OBGJCKGB_00050	CDS	627				hypothetical protein
OBGJCKGB_00051	gene	735				
OBGJCKGB_00051	CDS	735			COG1802	putative HTH-type transcriptional regulator
OBGJCKGB_00052	gene	795	rutA			
OBGJCKGB_00052	CDS	795	rutA	1.14.99.46		Pyrimidine monooxygenase RutA
OBGJCKGB_00053	gene	678				
OBGJCKGB_00053	CDS	678				hypothetical protein
OBGJCKGB_00054	gene	1104	ino1			
OBGJCKGB_00054	CDS	1104	ino1	5.5.1.4	COG1260	Inositol-3-phosphate synthase
OBGJCKGB_00055	gene	543				
OBGJCKGB_00055	CDS	543				hypothetical protein
OBGJCKGB_00056	gene	870				
OBGJCKGB_00056	CDS	870				putative protein
OBGJCKGB_00057	gene	414				
OBGJCKGB_00057	CDS	414				putative protein
OBGJCKGB_00058	gene	2472	ponA1			
OBGJCKGB_00058	CDS	2472	ponA1		COG0744	Penicillin-binding protein 1A
OBGJCKGB_00059	gene	1683				
OBGJCKGB_00059	CDS	1683				hypothetical protein
OBGJCKGB_00060	gene	639	inhA_1			
OBGJCKGB_00060	CDS	639	inhA_1	4.2.1.103		Isonitrile hydratase
OBGJCKGB_00061	gene	291	rpsF			
OBGJCKGB_00061	CDS	291	rpsF		COG0360	30S ribosomal protein S6
OBGJCKGB_00062	gene	495	ssb			
OBGJCKGB_00062	CDS	495	ssb		COG0629	Single-stranded DNA-binding protein
OBGJCKGB_00063	gene	255	rpsR1_1			
OBGJCKGB_00063	CDS	255	rpsR1_1		COG0238	30S ribosomal protein S18 1
OBGJCKGB_00064	gene	459	rplI			
OBGJCKGB_00064	CDS	459	rplI		COG0359	50S ribosomal protein L9
OBGJCKGB_00065	gene	522				
OBGJCKGB_00065	CDS	522				hypothetical protein
OBGJCKGB_00066	gene	2625	dnaB			
OBGJCKGB_00066	CDS	2625	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
OBGJCKGB_00067	gene	693				
OBGJCKGB_00067	CDS	693				hypothetical protein
OBGJCKGB_00068	gene	1059				
OBGJCKGB_00068	CDS	1059				hypothetical protein
OBGJCKGB_00069	gene	201				
OBGJCKGB_00069	CDS	201				hypothetical protein
OBGJCKGB_00070	gene	213				
OBGJCKGB_00070	CDS	213				hypothetical protein
OBGJCKGB_00071	gene	924	cenA			
