locus_tag	ftype	length_bp	gene	EC_number	COG	product
AKEGGHHK_00001	gene	1491	dnaA			
AKEGGHHK_00001	CDS	1491	dnaA		COG0593	Chromosomal replication initiator protein DnaA
AKEGGHHK_00002	gene	1209	dnaN			
AKEGGHHK_00002	CDS	1209	dnaN		COG0592	Beta sliding clamp
AKEGGHHK_00003	gene	1158	recF			
AKEGGHHK_00003	CDS	1158	recF		COG1195	DNA replication and repair protein RecF
AKEGGHHK_00004	gene	516				
AKEGGHHK_00004	CDS	516				hypothetical protein
AKEGGHHK_00005	gene	2145	gyrB1			
AKEGGHHK_00005	CDS	2145	gyrB1	5.6.2.2		DNA gyrase subunit B
AKEGGHHK_00006	gene	2517	gyrA			
AKEGGHHK_00006	CDS	2517	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
AKEGGHHK_00007	gene	198				
AKEGGHHK_00007	CDS	198				hypothetical protein
AKEGGHHK_00008	gene	306				
AKEGGHHK_00008	CDS	306				putative protein
AKEGGHHK_00009	gene	75				
AKEGGHHK_00009	tRNA	75				tRNA-Ile(gat)
AKEGGHHK_00010	gene	74				
AKEGGHHK_00010	tRNA	74				tRNA-Ala(tgc)
AKEGGHHK_00011	gene	138				
AKEGGHHK_00011	CDS	138				hypothetical protein
AKEGGHHK_00012	gene	438	cwsA			
AKEGGHHK_00012	CDS	438	cwsA			Cell wall synthesis protein CwsA
AKEGGHHK_00013	gene	549	ppiA			
AKEGGHHK_00013	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
AKEGGHHK_00014	gene	153				
AKEGGHHK_00014	CDS	153				hypothetical protein
AKEGGHHK_00015	gene	360				
AKEGGHHK_00015	CDS	360				hypothetical protein
AKEGGHHK_00016	gene	282	crgA			
AKEGGHHK_00016	CDS	282	crgA			Cell division protein CrgA
AKEGGHHK_00017	gene	744				
AKEGGHHK_00017	CDS	744				hypothetical protein
AKEGGHHK_00018	gene	699	trpG			
AKEGGHHK_00018	CDS	699	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
AKEGGHHK_00019	gene	1881	pknB			
AKEGGHHK_00019	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
AKEGGHHK_00020	gene	1296	pknA			
AKEGGHHK_00020	CDS	1296	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
AKEGGHHK_00021	gene	1476	pbpA			
AKEGGHHK_00021	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
AKEGGHHK_00022	gene	1410	rodA			
AKEGGHHK_00022	CDS	1410	rodA		COG0772	putative FtsW-like protein
AKEGGHHK_00023	gene	1536	pstP			
AKEGGHHK_00023	CDS	1536	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
AKEGGHHK_00024	gene	468	fhaB			
AKEGGHHK_00024	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
AKEGGHHK_00025	gene	1584	fhaA			
AKEGGHHK_00025	CDS	1584	fhaA		COG1716	FHA domain-containing protein FhaA
AKEGGHHK_00026	gene	85				
AKEGGHHK_00026	tRNA	85				tRNA-Leu(cag)
AKEGGHHK_00027	gene	969	IMPDH			
AKEGGHHK_00027	CDS	969	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
AKEGGHHK_00028	gene	420	whiB5			
AKEGGHHK_00028	CDS	420	whiB5			Transcriptional regulator WhiB5
AKEGGHHK_00029	gene	771				
AKEGGHHK_00029	CDS	771			COG1396	putative HTH-type transcriptional regulator
AKEGGHHK_00030	gene	846				
AKEGGHHK_00030	CDS	846				hypothetical protein
AKEGGHHK_00031	gene	363				
AKEGGHHK_00031	CDS	363				putative protein
AKEGGHHK_00032	gene	1347				
AKEGGHHK_00032	CDS	1347				hypothetical protein
AKEGGHHK_00033	gene	318				
AKEGGHHK_00033	CDS	318				hypothetical protein
AKEGGHHK_00034	gene	306				
AKEGGHHK_00034	CDS	306				putative protein
AKEGGHHK_00035	gene	144				
AKEGGHHK_00035	CDS	144				putative proteinA
AKEGGHHK_00036	gene	876				
AKEGGHHK_00036	CDS	876				hypothetical protein
AKEGGHHK_00037	gene	330				
AKEGGHHK_00037	CDS	330				putative protein
AKEGGHHK_00038	gene	2409	bioF2			
AKEGGHHK_00038	CDS	2409	bioF2	2.3.1.47	COG0156	Putative 8-amino-7-oxononanoate synthase 2
AKEGGHHK_00039	gene	264	acpP			
AKEGGHHK_00039	CDS	264	acpP			Acyl carrier protein
AKEGGHHK_00040	gene	396				
AKEGGHHK_00040	CDS	396			COG3631	putative protein
AKEGGHHK_00041	gene	1689	menE_1			
AKEGGHHK_00041	CDS	1689	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
AKEGGHHK_00042	gene	774				
AKEGGHHK_00042	CDS	774				putative protein
AKEGGHHK_00043	gene	1311				
